country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
"Hungary","1900","HUN","7106097","19107487000","","","","","","","","","","","","","","","","","","3336.966","23.713","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.273","0.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","1901","HUN","7156618","","","","","","","","","","","","","","","","","0.523","0.124","3330.740","23.837","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.000","0.012","4.875","0.035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","1902","HUN","7207003","","","","","","","","","","","","","","","","","-6.068","-1.446","3106.771","22.391","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.333","0.012","6.455","0.047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","1903","HUN","7257247","","","","","","","","","","","","","","","","","3.293","0.737","3186.851","23.128","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-25.000","-0.012","4.808","0.035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","1904","HUN","7307841","","","","","","","","","","","","","","","","","2.270","0.525","3236.641","23.653","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-33.333","-0.012","3.183","0.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","1905","HUN","7358788","","","","","","","","","","","","","","","","","4.274","1.011","3351.612","24.664","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150.000","0.035","7.902","0.058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","1906","HUN","7410090","","","","","","","","","","","","","","","","","6.407","1.580","3541.656","26.244","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-40.000","-0.023","4.708","0.035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","1907","HUN","7461749","","","","","","","","","","","","","","","","","1.221","0.320","3560.065","26.564","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-33.333","-0.012","3.117","0.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","1908","HUN","7513769","","","","","","","","","","","","","","","","","6.973","1.852","3781.925","28.417","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","3.096","0.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","1909","HUN","7561436","","","","","","","","","","","","","","","","","8.874","2.522","4091.560","30.938","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.000","0.012","4.614","0.035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
