country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
"World","1900","","1627273655","3503708270156","","","","","","","","","","","","","","","","","","3287.639","5349.888","","","","","","","","","","","","","","","","","","","","","","","","","","","45.377","73.840","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144.382","234.949","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","1901","","1639887187","","","","","","","","","","","","","","","","","1.808","96.707","3321.323","5446.595","","","","","","","","","","","","","","","","","","","","","","","","","10.817","7.988","49.899","81.828","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.870","27.889","160.278","262.838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","1902","","1653151632","","","","","","","","","","","","","","","","","2.420","131.829","3374.418","5578.424","","","","","","","","","","","","","","","","","","","","","","","","","9.761","7.988","54.330","89.816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.580","22.551","172.633","285.389","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","1903","","1667064512","","","","","","","","","","","","","","","","","9.121","508.836","3651.485","6087.260","","","","","","","","","","","","","","","","","","","","","","","","","8.893","7.988","58.668","97.803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.887","19.655","182.982","305.043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","1904","","1681154888","","","","","","","","","","","","","","","","","0.509","30.981","3639.309","6118.242","","","","","","","","","","","","","","","","","","","","","","","","","8.167","7.988","62.928","105.791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.292","37.495","203.752","342.538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","1905","","1695427510","","","","","","","","","","","","","","","","","7.809","477.760","3890.465","6596.002","","","","","","","","","","","","","","","","","","","","","","","","","7.550","7.988","67.109","113.779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.647","-5.641","198.710","336.898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","1906","","1709887300","","","","","","","","","","","","","","","","","5.601","369.474","4073.646","6965.476","","","","","","","","","","","","","","","","","","","","","","","","","7.020","7.988","71.213","121.766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.400","-1.349","196.240","335.549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","1907","","1724558347","","","","","","","","","","","","","","","","","10.617","739.536","4467.817","7705.012","","","","","","","","","","","","","","","","","","","","","","","","","6.560","7.988","75.239","129.754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.648","79.351","240.583","414.900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","1908","","1739441480","","","","","","","","","","","","","","","","","-4.964","-382.440","4209.726","7322.571","","","","","","","","","","","","","","","","","","","","","","","","","6.156","7.988","79.187","137.742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.107","33.634","257.861","448.534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World","1909","","1753729257","","","","","","","","","","","","","","","","","4.493","328.970","4363.012","7651.541","","","","","","","","","","","","","","","","","","","","","","","","","5.799","7.988","83.097","145.729","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.079","22.783","268.751","471.317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
